IdCliente;Nombre;Apellido;DNI;Fecha_de_nacimiento;Fecha_de_alta;CUIT
33;Tammie;Bogie;16052387;1963-06-22;2021-08-01 00:00:00;20160523875
34;Homerus;Vernalls;28867421;1981-03-24;2021-12-08 00:00:00;20288674215
35;Gaynor;Levey;23055268;1973-10-20;2021-02-16 00:00:00;27230552688
36;Vanessa;Sirkett;33411232;1989-06-30;2020-01-23 00:00:00;27334112326
37;Maia;Feehan;30056993;1982-12-30;2021-06-14 00:00:00;27300569935
38;Andy;Nottingham;34775247;1992-02-03;2022-06-26 00:00:00;20347752477
39;Cesare;Djordjevic;32607059;1986-10-30;2021-09-30 00:00:00;20326070597
40;Monah;Smidmore;34899326;1993-11-24;2023-05-14 00:00:00;27348993265
41;Mariska;Hawkyens;32426550;1986-07-24;2020-03-12 00:00:00;27324265502
42;Misha;Baybutt;33324655;1988-10-01;2022-03-08 00:00:00;27333246554
43;Alonso;Louden;32775330;1988-03-30;2022-07-10 00:00:00;20327753305
44;Ferdinande;Martschik;35529310;1994-06-29;2021-10-22 00:00:00;27355293101
45;Edy;McCrohon;31822087;1985-11-10;2023-06-20 00:00:00;27318220876
46;Phedra;Picford;22403867;1973-04-13;2020-07-15 00:00:00;27224038674
47;Regine;Carp;29939399;1982-09-21;2020-02-25 00:00:00;27299393991
48;Salomon;Hocking;27553977;1980-06-05;2022-09-29 00:00:00;20275539772
49;Leyla;Randall;20465803;1969-09-28;2023-11-13 00:00:00;27204658030
50;Mary;Sanbrooke;30614149;1983-05-22;2022-06-22 00:00:00;27306141498
51;Ruy;Antley;24003660;1974-10-25;2021-09-05 00:00:00;20240036603
52;Lucienne;Rudeyeard;36152530;1995-03-04;2022-03-21 00:00:00;27361525303
53;Serge;Maureen;23033491;1973-08-04;2021-12-06 00:00:00;20230334913
54;Randie;Durdle;31250956;1984-02-07;2023-03-15 00:00:00;20312509563
55;Jarib;Leslie;21948518;1973-03-10;2023-03-04 00:00:00;20219485187
56;Marji;Calley;24882012;1976-10-17;2020-04-28 00:00:00;27248820126
57;Lanny;Edgeon;16478180;1965-04-12;2020-11-12 00:00:00;20164781801
58;Kayley;Haldene;21691701;1972-12-07;2021-12-27 00:00:00;27216917013
59;Ignace;Worcs;36648369;1995-11-25;2021-12-24 00:00:00;20366483693
60;Margalo;Hamal;19511636;1968-02-18;2022-06-20 00:00:00;27195116367
61;Gabriello;Kedward;29353687;1981-07-16;2021-07-02 00:00:00;20293536874
62;Leilah;Tatford;39168495;1996-06-23;2021-02-09 00:00:00;27391684952
63;Cosette;Blinman;20124289;1968-03-19;2022-11-15 00:00:00;27201242892
64;Engracia;Letts;30588853;1983-02-06;2020-09-22 00:00:00;27305888536
65;Tabbie;Pohlke;17087989;1965-08-03;2021-05-11 00:00:00;20170879899
66;Diann;MacShane;37116411;1996-06-02;2021-11-03 00:00:00;27371164111
67;Lula;Farden;21021131;1969-12-12;2021-10-30 00:00:00;27210211313
68;Alfred;Copping;21693955;1973-01-21;2023-11-26 00:00:00;20216939553
69;Thayne;Ebbers;22480118;1973-06-01;2022-05-14 00:00:00;20224801187
70;Ashil;Olpin;25842634;1977-11-14;2020-05-09 00:00:00;27258426341
71;Arlin;Maden;31053394;1983-08-20;2021-02-12 00:00:00;20310533944
72;Lexi;Haslock;29002576;1981-06-13;2021-09-13 00:00:00;27290025763
73;Ad;Bourchier;21041565;1970-03-10;2021-11-12 00:00:00;20210415654
74;Loren;Narup;35578118;1994-08-23;2022-06-13 00:00:00;20355781186
75;Carney;Duckitt;26412196;1978-04-25;2021-08-17 00:00:00;20264121965
76;Clayborne;Ziem;34125152;1990-01-19;2023-10-16 00:00:00;20341251521
77;Sim;Bissiker;31626517;1985-10-24;2023-01-08 00:00:00;20316265178
78;Tremaine;Webberley;16291069;1963-10-04;2022-11-03 00:00:00;20162910696
79;Yoshiko;Belchamber;30115363;1983-01-22;2022-03-20 00:00:00;27301153631
80;Ivar;Menpes;29592112;1981-10-11;2020-05-25 00:00:00;20295921128
81;Sascha;Cahen;26988370;1978-11-10;2020-01-31 00:00:00;27269883709
82;Mateo;Woodroofe;24155269;1975-08-31;2021-07-17 00:00:00;20241552693
83;Vinny;Learie;21359541;1971-06-07;2020-08-16 00:00:00;27213595419
84;Ciro;Leehane;19406841;1967-08-21;2021-05-16 00:00:00;20194068413
85;Florrie;Bratten;16932622;1965-04-26;2020-01-01 00:00:00;27169326224
86;Bob;Whittuck;34472372;1991-04-21;2023-11-01 00:00:00;20344723723
87;Essa;Hands;19020069;1967-08-18;2023-05-20 00:00:00;27190200691
88;Coral;Melsom;23484953;1974-03-11;2023-10-28 00:00:00;27234849530
89;Lauren;McPaike;31439753;1985-04-13;2023-04-16 00:00:00;20314397539
90;Wiley;Spalls;24496661;1976-08-27;2021-11-16 00:00:00;20244966615
91;Cesar;Koppelmann;39780692;1998-12-23;2021-09-22 00:00:00;20397806922
92;Tony;Shewsmith;33884957;1989-12-08;2021-01-19 00:00:00;20338849578
93;Cherice;Cail;17967332;1966-06-16;2021-06-28 00:00:00;27179673325
94;Sissy;Trayton;21374204;1971-08-06;2022-09-19 00:00:00;27213742040
95;Jasmin;Noweak;17112495;1965-11-24;2020-08-19 00:00:00;27171124958
96;Benita;Giacovazzo;18531826;1967-08-09;2021-06-15 00:00:00;27185318262
97;Everett;Idiens;16477596;1964-10-21;2022-10-08 00:00:00;20164775969
98;Merlina;MacKibbon;16367182;1964-05-09;2022-06-07 00:00:00;27163671828
99;Farlie;Girkin;34268276;1990-04-03;2021-03-07 00:00:00;20342682764
100;Carmina;Potticary;20372966;1969-03-17;2023-04-14 00:00:00;27203729662
